[25/05/26 13:04:45] [utils.py:   82]: PyTorch Version: torch=2.5.0+cu124, cuda=12.4, cudnn=90100
[25/05/26 13:04:45] [utils.py:   83]: BN:
  EPS: 1e-05
  MOM: 0.1
CKPT_DIR: ./ckpt
CORRUPTION:
  DATASET: cifar10
  IMG_SIZE: 32
  NUM_CHANNEL: 3
  NUM_CLASSES: 10
  NUM_EX: 10000
  SEVERITY: [5, 4, 3, 2, 1]
  TYPE: ['gaussian_noise', 'shot_noise', 'impulse_noise', 'defocus_blur', 'glass_blur', 'motion_blur', 'zoom_blur', 'snow', 'frost', 'fog', 'brightness', 'contrast', 'elastic_transform', 'pixelate', 'jpeg_compression']
CUDNN:
  BENCHMARK: True
DATA_DIR: /scratch-shared/tea3/cifar10
DESC: 
EARLY_STOP_BEGIN: 70
EARLY_STOP_PATIENCE: 30
EATA:
  D_MARGIN: 0.05
  E_MARGIN: 2.763102111592855
  FISHER_ALPHA: 2000.0
  FISHER_SIZE: 2000
  USE_FISHER: False
EBM:
  BUFFER_SIZE: 10000
  REINIT_FREQ: 0.05
  SGLD_LR: 1.0
  SGLD_STD: 0.01
  STEPS: 20
  UNCOND: uncond
LOG_DEST: ttt_bn_adam-1-0.001-200_250526-130445.txt
LOG_TIME: 250526-130445
MODEL:
  ADAPTATION: ttt
  ADA_PARAM: ['bn']
  ARCH: WRN2810_TTT
  CHECKPOINT_PTH: None
  EPISODIC: False
OPTIM:
  BATCH_SIZE: 200
  BETA: 0.9
  CLIP_NORM: False
  DAMPENING: 0.0
  LAMBDA_CLS: 1.0
  LAMBDA_ENERGY: 1.0
  LR: 0.001
  METHOD: Adam
  MOMENTUM: 0.9
  NESTEROV: True
  N_EPOCHS: 200
  SCHEDULER_GAMMA: 0.2
  SCHEDULER_MILESTONES: [60, 120, 160]
  STEPS: 1
  TEST_BATCH_SIZE: 128
  WARMUP_START_LR: 1e-06
  WARMUP_STEPS: 1000
  WD: 0.0
OPTIM_ENERGY:
  BATCH_SIZE: 128
  BETA: 0.9
  CLIP_NORM: False
  DAMPENING: 0.0
  LR: 0.001
  METHOD: Adam
  MOMENTUM: 0.9
  NESTEROV: True
  STEPS: 1
  WD: 0.0
PL:
  ALPHA: 0.1
  THRESHOLD: 0.9
RNG_SEED: 1
SAR:
  MARGIN_E0: 2.763102111592855
SAVE_DIR: ./save/cifar10/bn-wrn-28-10-ttt
SHOT:
  CLF_COEFF: 0.1
  THRESHOLD: 0.9
TEST:
  
[25/05/26 13:05:44] [ttt_eval.py:  212]: Test set Accuracy: 0.8767
[25/05/26 13:33:18] [ttt_eval.py:  184]: acc % [motion_blur2]: 79.56%
[25/05/26 13:34:15] [ttt_eval.py:  184]: acc % [motion_blur1]: 84.60%
[25/05/26 13:35:12] [ttt_eval.py:  184]: acc % [zoom_blur5]: 72.79%
[25/05/26 13:36:09] [ttt_eval.py:  184]: acc % [zoom_blur4]: 78.53%
[25/05/26 13:37:06] [ttt_eval.py:  184]: acc % [zoom_blur3]: 76.12%
[25/05/26 13:38:03] [ttt_eval.py:  184]: acc % [zoom_blur2]: 77.96%
[25/05/26 13:39:00] [ttt_eval.py:  184]: acc % [zoom_blur1]: 75.98%
[25/05/26 13:39:57] [ttt_eval.py:  184]: acc % [snow5]: 70.70%
[25/05/26 13:40:54] [ttt_eval.py:  184]: acc % [snow4]: 73.57%
[25/05/26 13:41:51] [ttt_eval.py:  184]: acc % [snow3]: 73.95%
[25/05/26 13:42:48] [ttt_eval.py:  184]: acc % [snow2]: 73.97%
[25/05/26 13:43:45] [ttt_eval.py:  184]: acc % [snow1]: 78.74%
[25/05/26 13:44:42] [ttt_eval.py:  184]: acc % [frost5]: 73.13%
[25/05/26 13:45:39] [ttt_eval.py:  184]: acc % [frost4]: 75.76%
[25/05/26 13:46:36] [ttt_eval.py:  184]: acc % [frost3]: 77.79%
[25/05/26 13:47:34] [ttt_eval.py:  184]: acc % [frost2]: 81.80%
[25/05/26 13:48:30] [ttt_eval.py:  184]: acc % [frost1]: 83.39%
[25/05/26 13:49:27] [ttt_eval.py:  184]: acc % [fog5]: 74.86%
[25/05/26 13:50:24] [ttt_eval.py:  184]: acc % [fog4]: 82.54%
[25/05/26 13:51:21] [ttt_eval.py:  184]: acc % [fog3]: 84.23%
[25/05/26 13:52:18] [ttt_eval.py:  184]: acc % [fog2]: 86.87%
[25/05/26 13:53:15] [ttt_eval.py:  184]: acc % [fog1]: 88.65%
[25/05/26 13:54:12] [ttt_eval.py:  184]: acc % [brightness5]: 85.17%
[25/05/26 13:55:09] [ttt_eval.py:  184]: acc % [brightness4]: 87.13%
[25/05/26 13:56:06] [ttt_eval.py:  184]: acc % [brightness3]: 87.25%
[25/05/26 13:57:03] [ttt_eval.py:  184]: acc % [brightness2]: 87.98%
[25/05/26 13:58:00] [ttt_eval.py:  184]: acc % [brightness1]: 88.51%
[25/05/26 13:58:57] [ttt_eval.py:  184]: acc % [contrast5]: 76.06%
[25/05/26 13:59:54] [ttt_eval.py:  184]: acc % [contrast4]: 80.61%
[25/05/26 14:00:51] [ttt_eval.py:  184]: acc % [contrast3]: 83.84%
[25/05/26 14:01:48] [ttt_eval.py:  184]: acc % [contrast2]: 84.30%
[25/05/26 14:02:45] [ttt_eval.py:  184]: acc % [contrast1]: 87.45%
[25/05/26 14:03:42] [ttt_eval.py:  184]: acc % [elastic_transform5]: 74.07%
[25/05/26 14:04:40] [ttt_eval.py:  184]: acc % [elastic_transform4]: 79.08%
[25/05/26 14:05:37] [ttt_eval.py:  184]: acc % [elastic_transform3]: 81.71%
[25/05/26 14:06:34] [ttt_eval.py:  184]: acc % [elastic_transform2]: 82.82%
[25/05/26 14:07:31] [ttt_eval.py:  184]: acc % [elastic_transform1]: 81.94%
[25/05/26 14:08:28] [ttt_eval.py:  184]: acc % [pixelate5]: 76.00%
[25/05/26 14:09:25] [ttt_eval.py:  184]: acc % [pixelate4]: 80.51%
[25/05/26 14:10:22] [ttt_eval.py:  184]: acc % [pixelate3]: 84.08%
[25/05/26 14:11:19] [ttt_eval.py:  184]: acc % [pixelate2]: 84.95%
[25/05/26 14:12:16] [ttt_eval.py:  184]: acc % [pixelate1]: 85.27%
[25/05/26 14:13:13] [ttt_eval.py:  184]: acc % [jpeg_compression5]: 73.39%
[25/05/26 14:14:10] [ttt_eval.py:  184]: acc % [jpeg_compression4]: 75.33%
[25/05/26 14:15:07] [ttt_eval.py:  184]: acc % [jpeg_compression3]: 77.33%
[25/05/26 14:16:04] [ttt_eval.py:  184]: acc % [jpeg_compression2]: 79.13%
[25/05/26 14:17:01] [ttt_eval.py:  184]: acc % [jpeg_compression1]: 82.22%
[25/05/26 14:17:01] [ttt_eval.py:  190]: 
                         1        2         3         4        5       avg
gaussian_noise     0.68980  0.72290  0.744000  0.800400  0.82300  0.756020
shot_noise         0.73610  0.76330  0.781100  0.849500  0.84500  0.795000
impulse_noise      0.61810  0.65920  0.734800  0.780600  0.82600  0.723740
defocus_blur       0.81020  0.85380  0.855100  0.879100  0.88130  0.855900
glass_blur         0.56150  0.53530  0.664300  0.682500  0.67960  0.624640
motion_blur        0.69700  0.75080  0.752900  0.795600  0.84600  0.768460
zoom_blur          0.72790  0.78530  0.761200  0.779600  0.75980  0.762760
snow               0.70700  0.73570  0.739500  0.739700  0.78740  0.741860
frost              0.73130  0.75760  0.777900  0.818000  0.83390  0.783740
fog                0.74860  0.82540  0.842300  0.868700  0.88650  0.834300
brightness         0.85170  0.87130  0.872500  0.879800  0.88510  0.872080
contrast           0.76060  0.80610  0.838400  0.843000  0.87450  0.824520
elastic_transform  0.74070  0.79080  0.817100  0.828200  0.81940  0.799240
pixelate           0.76000  0.80510  0.840800  0.849500  0.85270  0.821620
jpeg_compression   0.73390  0.75330  0.773300  0.791300  0.82220  0.774800
average            0.72496  0.76106  0.786347  0.812367  0.82816  0.782579
Building model...
Files already downloaded and verified
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
