[25/05/26 13:40:12] [utils.py:   82]: PyTorch Version: torch=2.5.0+cu124, cuda=12.4, cudnn=90100
[25/05/26 13:40:12] [utils.py:   83]: BN:
  EPS: 1e-05
  MOM: 0.1
CKPT_DIR: ./ckpt
CORRUPTION:
  DATASET: cifar100
  IMG_SIZE: 32
  NUM_CHANNEL: 3
  NUM_CLASSES: 100
  NUM_EX: 10000
  SEVERITY: [5, 4, 3, 2, 1]
  TYPE: ['gaussian_noise', 'shot_noise', 'impulse_noise', 'defocus_blur', 'glass_blur', 'motion_blur', 'zoom_blur', 'snow', 'frost', 'fog', 'brightness', 'contrast', 'elastic_transform', 'pixelate', 'jpeg_compression']
CUDNN:
  BENCHMARK: True
DATA_DIR: /scratch-shared/tea3/cifar100
DESC: 
EARLY_STOP_BEGIN: 70
EARLY_STOP_PATIENCE: 30
EATA:
  D_MARGIN: 0.05
  E_MARGIN: 2.763102111592855
  FISHER_ALPHA: 2000.0
  FISHER_SIZE: 2000
  USE_FISHER: False
EBM:
  BUFFER_SIZE: 10000
  REINIT_FREQ: 0.05
  SGLD_LR: 1.0
  SGLD_STD: 0.01
  STEPS: 20
  UNCOND: uncond
LOG_DEST: ttt_bn_adam-1-0.001-200_250526-134012.txt
LOG_TIME: 250526-134012
MODEL:
  ADAPTATION: ttt
  ADA_PARAM: ['bn']
  ARCH: WRN2810_TTT
  CHECKPOINT_PTH: None
  EPISODIC: False
OPTIM:
  BATCH_SIZE: 200
  BETA: 0.9
  CLIP_NORM: False
  DAMPENING: 0.0
  LAMBDA_CLS: 1.0
  LAMBDA_ENERGY: 1.0
  LR: 0.001
  METHOD: Adam
  MOMENTUM: 0.9
  NESTEROV: True
  N_EPOCHS: 200
  SCHEDULER_GAMMA: 0.2
  SCHEDULER_MILESTONES: [60, 120, 160]
  STEPS: 1
  TEST_BATCH_SIZE: 128
  WARMUP_START_LR: 1e-06
  WARMUP_STEPS: 1000
  WD: 0.0
OPTIM_ENERGY:
  BATCH_SIZE: 128
  BETA: 0.9
  CLIP_NORM: False
  DAMPENING: 0.0
  LR: 0.001
  METHOD: Adam
  MOMENTUM: 0.9
  NESTEROV: True
  STEPS: 1
  WD: 0.0
PL:
  ALPHA: 0.1
  THRESHOLD: 0.9
RNG_SEED: 91
SAR:
  MARGIN_E0: 2.763102111592855
SAVE_DIR: ./save/cifar100/bn-wrn-28-10-ttt
SHOT:
  CLF_COEFF: 0.1
  THRESHOLD: 0.9
TEST:
  
[25/05/26 13:41:11] [ttt_eval_2.py:  212]: Test set Accuracy: 0.5935
[25/05/26 14:13:20] [ttt_eval_2.py:  184]: acc % [zoom_blur2]: 40.44%
[25/05/26 14:14:16] [ttt_eval_2.py:  184]: acc % [zoom_blur1]: 36.84%
[25/05/26 14:15:13] [ttt_eval_2.py:  184]: acc % [snow5]: 32.17%
[25/05/26 14:16:10] [ttt_eval_2.py:  184]: acc % [snow4]: 36.72%
[25/05/26 14:17:07] [ttt_eval_2.py:  184]: acc % [snow3]: 34.53%
[25/05/26 14:18:03] [ttt_eval_2.py:  184]: acc % [snow2]: 32.42%
[25/05/26 14:19:00] [ttt_eval_2.py:  184]: acc % [snow1]: 44.76%
[25/05/26 14:19:57] [ttt_eval_2.py:  184]: acc % [frost5]: 37.60%
[25/05/26 14:20:55] [ttt_eval_2.py:  184]: acc % [frost4]: 42.23%
[25/05/26 14:21:52] [ttt_eval_2.py:  184]: acc % [frost3]: 41.58%
[25/05/26 14:22:49] [ttt_eval_2.py:  184]: acc % [frost2]: 47.73%
[25/05/26 14:23:45] [ttt_eval_2.py:  184]: acc % [frost1]: 50.01%
[25/05/26 14:24:42] [ttt_eval_2.py:  184]: acc % [fog5]: 32.44%
[25/05/26 14:25:39] [ttt_eval_2.py:  184]: acc % [fog4]: 44.26%
[25/05/26 14:26:36] [ttt_eval_2.py:  184]: acc % [fog3]: 49.43%
[25/05/26 14:27:32] [ttt_eval_2.py:  184]: acc % [fog2]: 53.12%
[25/05/26 14:28:29] [ttt_eval_2.py:  184]: acc % [fog1]: 56.68%
[25/05/26 14:29:26] [ttt_eval_2.py:  184]: acc % [brightness5]: 51.23%
[25/05/26 14:30:23] [ttt_eval_2.py:  184]: acc % [brightness4]: 54.76%
[25/05/26 14:31:19] [ttt_eval_2.py:  184]: acc % [brightness3]: 57.29%
[25/05/26 14:32:16] [ttt_eval_2.py:  184]: acc % [brightness2]: 55.47%
[25/05/26 14:33:13] [ttt_eval_2.py:  184]: acc % [brightness1]: 58.18%
[25/05/26 14:34:09] [ttt_eval_2.py:  184]: acc % [contrast5]: 31.95%
[25/05/26 14:35:06] [ttt_eval_2.py:  184]: acc % [contrast4]: 46.71%
[25/05/26 14:36:03] [ttt_eval_2.py:  184]: acc % [contrast3]: 50.80%
[25/05/26 14:36:59] [ttt_eval_2.py:  184]: acc % [contrast2]: 53.31%
[25/05/26 14:37:56] [ttt_eval_2.py:  184]: acc % [contrast1]: 56.71%
[25/05/26 14:38:53] [ttt_eval_2.py:  184]: acc % [elastic_transform5]: 40.99%
[25/05/26 14:39:50] [ttt_eval_2.py:  184]: acc % [elastic_transform4]: 47.38%
[25/05/26 14:40:46] [ttt_eval_2.py:  184]: acc % [elastic_transform3]: 49.64%
[25/05/26 14:41:43] [ttt_eval_2.py:  184]: acc % [elastic_transform2]: 49.68%
[25/05/26 14:42:40] [ttt_eval_2.py:  184]: acc % [elastic_transform1]: 50.58%
[25/05/26 14:43:37] [ttt_eval_2.py:  184]: acc % [pixelate5]: 42.98%
[25/05/26 14:44:33] [ttt_eval_2.py:  184]: acc % [pixelate4]: 45.77%
[25/05/26 14:45:30] [ttt_eval_2.py:  184]: acc % [pixelate3]: 51.66%
[25/05/26 14:46:27] [ttt_eval_2.py:  184]: acc % [pixelate2]: 52.49%
[25/05/26 14:47:23] [ttt_eval_2.py:  184]: acc % [pixelate1]: 54.63%
[25/05/26 14:48:20] [ttt_eval_2.py:  184]: acc % [jpeg_compression5]: 36.06%
[25/05/26 14:49:17] [ttt_eval_2.py:  184]: acc % [jpeg_compression4]: 40.10%
[25/05/26 14:50:13] [ttt_eval_2.py:  184]: acc % [jpeg_compression3]: 41.37%
[25/05/26 14:51:10] [ttt_eval_2.py:  184]: acc % [jpeg_compression2]: 39.13%
[25/05/26 14:52:07] [ttt_eval_2.py:  184]: acc % [jpeg_compression1]: 47.66%
[25/05/26 14:52:07] [ttt_eval_2.py:  190]: 
                         1        2         3         4         5       avg
gaussian_noise     0.30490  0.32250  0.373800  0.415200  0.499100  0.383100
shot_noise         0.31860  0.38020  0.409000  0.475400  0.525000  0.421640
impulse_noise      0.22780  0.27410  0.354400  0.437800  0.499000  0.358620
defocus_blur       0.47450  0.49760  0.531200  0.544000  0.565300  0.522520
glass_blur         0.31910  0.30600  0.388100  0.382700  0.390600  0.357300
motion_blur        0.33800  0.39990  0.346100  0.428400  0.503600  0.403200
zoom_blur          0.34760  0.44260  0.400300  0.404400  0.368400  0.392660
snow               0.32170  0.36720  0.345300  0.324200  0.447600  0.361200
frost              0.37600  0.42230  0.415800  0.477300  0.500100  0.438300
fog                0.32440  0.44260  0.494300  0.531200  0.566800  0.471860
brightness         0.51230  0.54760  0.572900  0.554700  0.581800  0.553860
contrast           0.31950  0.46710  0.508000  0.533100  0.567100  0.478960
elastic_transform  0.40990  0.47380  0.496400  0.496800  0.505800  0.476540
pixelate           0.42980  0.45770  0.516600  0.524900  0.546300  0.495060
jpeg_compression   0.36060  0.40100  0.413700  0.391300  0.476600  0.408640
average            0.35898  0.41348  0.437727  0.461427  0.502873  0.434897
Building model...
Files already downloaded and verified
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
Building model...
